 PRICE INT BRD FLR FP RMS ST LOT TAX BTH CON GAR CDN L1 L2
   53  1  2   967  0  5  0  39   652  1.5  1  0.0  0  1  0
   55  1  2   815  1  5  0  33  1000  1.0  1  2.0  1  1  0
   56  1  3   900  0  5  1  35   897  1.5  1  1.0  0  1  0
   58  1  3  1007  0  6  1  24   964  1.5  0  2.0  0  1  0
   64  1  3  1100  1  7  0  50  1099  1.5  1  1.5  0  1  0
   44  1  4   897  0  7  0  25   960  2.0  0  1.0  0  1  0
   49  1  5  1400  0  8  0  30   678  1.0  0  1.0  1  1  0
   70  1  3  2261  0  6  0  29  2700  1.0  0  2.0  0  1  0
   72  1  4  1290  0  8  1  33   800  1.5  1  1.5  0  1  0
   82  1  4  2104  0  9  0  40  1038  2.5  1  1.0  1  1  0
   85  1  8  2240  1 12  1  50  1200  3.0  0  2.0  0  1  0
   45  1  2   641  0  5  0  25   860  1.0  0  0.0  0  0  1
   47  1  3   862  0  6  0  25   600  1.0  1  0.0  0  0  1
   49  1  4  1043  0  7  0  30   676  1.5  0  0.0  0  0  1
   56  1  4  1325  0  8  0  50  1287  1.5  0  0.0  0  0  1
   60  1  2   782  0  5  1  25   834  1.0  0  0.0  0  0  1
   62  1  3  1126  0  7  1  30   734  2.0  1  0.0  1  0  1
   64  1  4  1226  0  8  0  37   551  2.0  0  2.0  0  0  1
   66  1  2   929  0  5  0  30  1355  1.0  1  1.0  0  0  1
   35  1  4  1137  1  7  0  25   561  1.5  0  0.0  0  0  0
   38  1  3   743  0  6  0  25   489  1.0  1  0.0  0  0  0
   43  1  3   596  0  5  0  50   752  1.0  0  0.0  0  0  0
   46  1  2   803  0  5  0  27   774  1.0  1  0.0  1  0  0
   46  1  2   696  0  4  0  30   440  2.0  1  1.0  0  0  0
   50  1  2   691  0  6  0  30   549  1.0  0  2.0  1  0  0
   65  1  3  1023  0  7  1  30   900  2.0  1  1.0  3  3  4
