   pbe     omx     sug     bha     uzf     nrb     aep     mhu     qyc     gpo     rbm     kce     iom     ztd     nqs     njm     hxc     mtk     wwg     dyf  
604.86  208.93  566.12  409.83  083.79  814.89  284.12  089.42  599.70  562.75  305.37  200.63  846.47  099.48  550.55  868.70  537.54  261.16  200.48  590.98  
806.57  373.36  003.27  070.00  017.35  871.20  817.62  640.23  776.87  701.81  877.27  710.87  710.71  683.04  439.82  840.61  472.70  617.29  883.93  458.21  
451.57  740.23  126.41  783.14  282.65  185.67  611.11  219.23  545.15  022.40  852.52  274.77  353.74  198.15  224.45  071.62  772.44  016.62  714.20  733.64  
362.04  842.49  090.64  388.53  666.33  561.32  592.21  857.18  870.39  010.19  174.45  699.40  055.05  683.77  208.24  206.32  274.58  018.63  417.72  525.93  
421.10  060.26  783.54  856.80  002.88  015.99  819.69  458.01  004.02  711.17  503.97  415.84  698.73  229.08  298.65  222.93  323.00  829.85  815.00  427.93  
470.50  738.92  557.31  327.13  095.50  019.82  233.47  165.93  336.11  388.96  701.45  493.53  618.86  744.01  641.34  753.62  770.50  604.52  644.87  089.19  
469.24  345.23  864.48  081.48  844.46  233.75  800.55  351.75  589.06  301.99  321.10  506.86  647.12  500.89  327.92  136.84  506.48  514.41  295.18  673.81  
727.39  330.47  231.66  542.58  445.75  466.47  802.03  841.42  074.02  103.74  238.53  256.22  387.40  137.26  128.26  679.82  663.75  138.06  599.04  178.46  
735.55  164.75  177.18  183.50  018.93  235.54  069.18  315.36  504.38  890.33  651.72  842.26  197.31  272.16  614.91  055.97  022.55  361.35  222.32  279.08  
051.85  461.52  278.31  566.69  650.66  532.40  077.90  328.64  664.30  682.65  324.12  330.10  280.34  551.33  210.55  034.14  472.42  310.48  501.89  485.53  
381.23  560.22  871.42  469.54  711.34  866.96  887.76  673.38  289.04  110.68  370.28  574.44  237.69  754.85  868.29  679.95  286.95  646.91  626.70  280.43  
407.14  613.55  203.57  884.36  701.95  006.40  075.72  645.10  346.19  237.52  703.03  043.67  102.87  039.42  617.94  837.87  036.18  280.72  604.68  214.78  
684.06  852.46  231.39  887.12  443.58  778.26  530.35  289.43  838.44  080.65  149.82  597.28  340.82  182.98  313.13  733.94  717.03  683.97  853.41  272.35  
462.59  216.09  093.60  247.98  067.70  781.71  270.46  705.35  115.73  235.51  805.09  059.80  656.02  543.16  248.04  655.82  517.83  806.06  115.93  297.80  
883.33  259.52  126.43  695.70  803.33  797.05  553.14  714.25  534.79  723.26  866.90  658.58  417.41  533.90  605.78  692.08  560.14  529.65  646.67  192.33  
159.70  868.47  167.27  667.73  443.38  161.41  246.62  376.84  287.93  130.27  390.67  427.41  141.67  393.72  763.94  776.98  787.43  554.48  763.06  533.05  
228.82  343.53  628.89  657.90  303.02  145.42  065.31  708.75  667.99  314.73  543.47  202.57  385.89  549.88  789.78  087.18  218.04  770.01  443.50  710.87  
493.75  253.97  813.87  465.59  772.53  483.09  472.79  095.29  748.68  662.33  652.86  247.21  659.61  138.30  624.94  515.11  223.85  348.58  410.08  552.95  
136.95  273.96  410.13  883.91  599.50  539.92  246.96  213.58  072.89  196.90  042.51  224.59  061.93  845.94  600.78  055.82  575.67  111.43  407.94  512.22  
761.38  889.43  331.01  324.71  269.71  068.32  311.80  153.70  502.79  137.41  575.12  799.24  312.86  893.57  624.27  303.86  887.44  109.34  187.56  666.82  
686.97  134.06  336.98  487.65  148.15  839.06  285.24  750.76  190.18  658.70  088.44  134.95  763.32  380.18  823.15  042.44  295.59  171.15  558.60  484.48  
606.95  166.87  096.65  498.67  810.67  891.56  468.63  051.53  006.70  014.40  299.49  206.45  279.64  262.24  540.71  012.54  277.40  319.24  614.73  096.48  
744.73  291.98  057.60  272.90  593.20  569.93  644.74  701.87  740.52  563.21  651.92  293.59  468.74  771.23  241.60  890.06  023.07  383.11  056.48  179.84  
337.99  397.29  119.04  472.45  171.08  896.93  736.37  349.42  304.85  437.54  807.13  386.81  431.95  627.29  855.30  109.58  756.31  000.09  380.06  795.79  
835.19  586.54  466.19  819.46  878.86  112.24  110.13  287.84  414.50  291.78  665.48  411.99  375.91  631.34  281.26  043.61  275.32  061.20  570.25  235.47  
235.22  625.99  565.63  318.19  458.21  241.77  699.57  478.58  266.93  685.90  271.84  483.20  153.57  811.43  805.34  815.71  605.49  680.87  591.31  798.63  
163.45  755.70  866.84  555.49  782.44  360.22  403.72  220.95  736.47  728.91  171.12  484.16  159.42  060.65  190.44  165.99  377.72  365.78  372.77  365.63  
782.58  593.13  773.84  357.15  672.27  307.25  052.24  811.93  019.95  267.29  045.60  061.47  631.13  124.18  627.67  377.09  006.67  674.92  846.88  829.82  
082.51  813.56  065.65  688.98  377.79  697.30  433.97  189.08  316.65  546.70  325.02  396.19  283.75  737.62  391.84  264.71  424.46  251.99  579.28  868.91  
